Organization Name,API URL
中南财经政法大学·私有云,https://lms.zuel.edu.cn
桂林电子科技大学,https://courses.guet.edu.cn
臺灣銀行培訓平台(測試中)/TITEST,https://titest.tronclass.com
明證管理顧問,https://minjeng.tronclass.com
台應智能公司,https://itelligensys.tronclass.com
mhesi-stg,https://stg-lms.mhesi-skill.org
聯合出版集團測試環境,https://sueptest.tronclass.com
社團法人台灣寵物營養保健食品學會 / 台寵學會,https://tpnhfs.tronclass.com
佛光大學/FGU,https://fgu.tronclass.com
福建省通信产业服务有限公司,https://fjtx.tronclass.com.cn
Foxlink,https://foxlink.tronclass.com
智园研究院,https://lms-uat.tronclass.com.cn
智园研究院-演示,https://lms-uat.tronclass.com.cn
北京轻工技师学院,https://lms.bjqgjsxy.cn
北京市公共交通高级技工学校,http://121.196.181.19
北京市应急管理学院,https://gjn.sgjx.com.cn:8060
stg-org1,https://lms-stg.tronclass.com.cn
stg自动化测试机构,https://lms-stg.tronclass.com.cn
多机构stg,https://lms-stg.tronclass.com.cn
ZUNO-STG,https://lms-staging.usezuno.com
wg-h,https://az.tronclass.com
stg自动化测试机构,https://lms-stg.tronclass.com.cn
国际关系学院,https://gjgx.tronclass.com.cn
中国科学技术大学苏州高等研究院,https://zgkx.tronclass.com.cn
厦门理工学院,https://xmlg.tronclass.com.cn
北京市顺义区人力资源和社会保障局高级技工学校,http://course.syrbjjx.com
金禾经济研究中心,http://jcer.xjtu.edu.cn
醒吾科技大學,https://iclass.hwu.edu.tw
醒吾科技大學 (體驗網站),https://iclass.hwu.edu.tw
財團法人辭修高中,https://tsshs.tronclass.com
國家衛生研究院 / NHRI,https://nhri.tronclass.com
世新大學 / SHU,https://tronclass.shu.edu.tw
龍華科技大學,https://elearn.lhu.edu.tw
火箭军工程大学,http://192.168.1.11
江苏海洋大学,https://jshy.tronclass.com.cn
北京航空航天大学,https://hkht.tronclass.com.cn
厦门华厦学院 ,https://xmhx.tronclass.com.cn
浙江万里学院,https://hzwl.tronclass.com.cn
上海视觉艺术学院,https://shsj.tronclass.com.cn
香港都會大學測試環境,https://hkmutest.tronclass.com
工研院產業學院-雲端教室,https://collegeplus.itri.org.tw
常春藤英語,https://ivy.tronclass.com
國立宜蘭大學/NIU,https://niu.tronclass.com
國立臺南護理專科學校,https://ntin.tronclass.com
陆军工程大学（演示版）,http://lms.uat.tronclass.com.cn
浙江农林大学,https://zjnl.tronclass.com.cn
浙江科技大学,https://zjkj.tronclass.com.cn
中聚智能,https://zjzn.tronclass.com.cn
南京青麦智能科技有限公司,https://njqm.tronclass.com.cn
LJPY,https://ljpy.tronclass.com.cn
西交利物浦大学,https://xjlwp.tronclass.com.cn
吉首大学,https://incast.jsu.edu.cn
TTKKUU,https://iclass.tku.edu.tw
台灣中小學數位學習平台 (試用),http://tw.k12.tronclass.com
國立高雄科技大學/NKUST,https://nkust.tronclass.com
高雄醫學大學/KMU,https://kmu.tronclass.com
崑山科技大學/KSU,https://ksu.tronclass.com
中医药联盟,https://zyyszlm.zj.zju.edu.cn
知策匯2.0,https://lyls.tronclass.com
黎明职业大学,https://lmxy.tronclass.com.cn
明新科技大學 MUST,https://tronclass.must.edu.tw
MMOT跨領域科技管理研習班（磐安智慧財產教育基金會）,https://cipfmmot.tronclass.com
厦门大学数字化教学平台,https://lnt.xmu.edu.cn
TMMU,https://tmmu.tronclass.com.cn
國立台灣大學,http://lms.aca.ntu.edu.tw
ZUNO,https://lms.usezuno.com
國立中山大學（試用）,https://nsysu.tronclass.com
國立臺北科技大學,https://ntut.tronclass.com
國立屏東大學/NPTU,https://nptu.tronclass.com
西安盘相数字科技有限公司,https://xnpx.tronclass.com.cn
國立聯合大學/NUU,https://nuu.tronclass.com
國立中山大學,https://elearn.nsysu.edu.tw
國立空中大學_第三人生,https://3tron.nou.edu.tw
誠士資訊,https://az.tronclass.com
深圳大学,https://lms.szu.edu.cn
绍兴文理学院,https://courses.usx.edu.cn
YT,https://eclass.yuntech.edu.tw
大同大學,https://ilearn.ttu.edu.tw
测试机构u,http://lms-stg.tronclass.com.cn/
文藻外語大學 WZU,https://elearning.wzu.edu.tw
37300900,https://iclass-tst.tku.edu.tw
77308100,https://beta-tc.tp.edu.tw
52024708,https://tronclass_test.pu.edu.tw
5028 精準健康管理師聯習會,https://5028.tronclass.com
76000424,https://tronclass-test.wzu.edu.tw
365大学,https://www.365dx.com
